主基金名稱,經理 人姓名
統一亞洲非投資等級債券基金,林彥廷
富邦日本東証基金,陳双吉
柏瑞亞太非投資等級債券基金,施宜君
復華琤苀璊擖縝V二倍基金,廖崇文
復華琤苀璊擗浀V一倍基金,廖崇文
玉山中國好時平衡基金,張世東(代理)
國泰亞太入息平衡基金,黃世暐
野村日本領先基金,高君逸
元大標普500單日反向1倍基金,方雅婷
元大標普500單日正向2倍基金,方雅婷
元大標普500基金,盧永祥
華南永昌全球物聯網精選基金,林彥豪
群益大印度基金,洪玉婷
富邦印度ETF傘型基金之富邦印度NIFTY基金,蘇筱婷
富邦印度ETF傘型基金之富邦印度NIFTY單日反向一倍基金,黎邕墉
富邦印度ETF傘型基金之富邦印度NIFTY單日正向兩倍基金,林旻致
摩根環球股票收益基金,魏伯宇
元大美元貨幣市場基金,黃秀燕
野村全球短期收益基金,劉信芝
柏瑞環球多元資產基金,邢是霈
台新美國豐收平衡基金,羅吉舜
群益全球地產入息基金,楊慈珍
國泰A50傘型基金之富時中國A50單日反向1倍基金,楊庭杰
國泰A50傘型基金之富時中國A50單日正向2倍基金,楊庭杰
台新全球多元資產組合基金,謝夢蘭
統一全球新科技基金,郭智偉
聯邦永騰亞洲非投資等級債券基金,余政民
國泰日本ETF傘型基金之日經225基金,游凱卉
野村多元收益多重資產基金,黃奕捷
富蘭克林華美多重資產收益基金,楊金峯(核心經理人) 劉曉如(協管經理人，管理類別:1;2;3;4)
元大日經225基金,許家瑋
元大歐洲50基金,許家瑋
第一金全球AI機器人及自動化產業基金,黃筱雲
富邦NASDAQ-100基金,王辰方
復華全球物聯網科技基金,黃俊瑞
玉山多元收益組合基金,莊禮菡
元大新東協平衡基金,張哲銘
國泰臺指ETF傘型基金之臺灣加權指數單日反向1倍基金,蘇鼎宇
國泰臺指ETF傘型基金之臺灣加權指數單日正向2倍基金,蘇鼎宇
富邦琤肭磪贙TF傘型基金之富邦琤肭磪瓥璊擗浀V一倍基金,黎邕墉
富邦琤肭磪贙TF傘型基金之富邦琤肭磪瓥璊擖縝V兩倍基金,陳婉寧
兆豐美元貨幣市場基金,張嘉祐
富蘭克林華美亞太平衡基金,楊佩諭(核心經理人) 陳柏翰(協管經理人，管理類別:1;2;3;4)
富達亞洲總報酬基金,夏苔耘
群益金選報酬平衡基金,鄭秉倫
富邦NASDAQ-100 ETF傘型基金之富邦NASDAQ-100單日反向一倍基金,蘇筱婷
富邦NASDAQ-100 ETF傘型基金之富邦NASDAQ-100單日正向兩倍基金,陳婉寧
國泰美國ETF傘型基金之道瓊工業平均指數單日反向1倍基金,蘇鼎宇
國泰美國ETF傘型基金之道瓊工業平均指數基金,蘇鼎宇
台新全球債券基金,尹晟龢
中國信託樂齡收益平衡基金,楊士醇
富邦中國戰略A股基金,蔡宗和
宏利全球動力股票基金,劉柏廷
復華台灣智能基金,劉明滄
富邦臺灣加權ETF傘型基金之富邦臺灣加權單日正向兩倍基金,林威宇
富邦臺灣加權ETF傘型基金之富邦臺灣加權單日反向一倍基金,王素珍
第一金全球AI FinTech金融科技基金,莊卜璇
元大美國政府20年期(以上)債券單日正向2倍基金,蕭開豪
元大美國政府20年期(以上)債券基金,周宜縉
元大美國政府20年期(以上)債券單日反向1倍基金,陳柏彰
富邦琤肭磪贙TF基金,陳仲愷
群益那斯達克生技基金,邱郁茹
柏瑞特別股息收益基金,馬治雲
元大美國政府7至10年期債券基金,周宜縉
富邦歐亞絲路多重資產型基金,張庭豪
玉山策略成長ETF組合基金,曾訓億
群益臺灣加權單日反向1倍基金,洪祥益
群益臺灣加權單日正向2倍基金,洪祥益
瀚亞策略印度傘型基金之印度策略收益平衡基金A類型新台幣 (本子基金,吳立渝
瀚亞策略印度傘型基金之印度策略收益債券基金A類型新臺幣 (本子基金,吳立渝
兆豐臺灣藍籌30ETF基金,詹佳峯
富邦臺灣公司治理100基金,溫芳儀
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數基金,陳思翰
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數單日反向1倍基金,林淑娟
國泰美國債券ETF傘型基金之20年期(以上)美國公債指數單日正向2倍基金,林淑娟
凱基醫院及長照產業基金,黃廷偉
富邦美國政府債券ETF傘型基金之富邦美國政府債券1-3年期基金,林威宇
富邦美國政府債券ETF傘型基金之富邦美國政府債券7-10年期基金,陳仲愷
富邦美國政府債券ETF傘型基金之富邦美國政府債券20年期以上基金,王素珍
群益全球特別股收益基金,徐煒庠
貝萊德全方位資產收益組合基金,李珈蕙
元大亞太優質高股息100指數基金,方雅婷
華南永昌Shiller US CAPE ETF組合基金,申暉弘
台新MSCI中國基金,黃鈺民
富邦富時歐洲ETF基金,陳婉寧
復華1至5年期非投資等級債券基金,江唱漁
復華富時不動產證券化基金,曹君龍
復華新興市場10年期以上債券基金,許忠成
國泰低波動ETF傘型基金之臺灣低波動股利精選30基金,江宇騰
國泰低波動ETF傘型基金之美國標普500低波動高股息基金,林淑娟
路博邁台灣5G股票基金,黃煜
富蘭克林華美退休傘型之目標2027組合基金,褚國廷
富蘭克林華美退休傘型之目標2037組合基金,詹柏庭
富蘭克林華美退休傘型之目標2047組合基金,林育弘
第一金全球水電瓦斯及基礎建設收益基金,林志映
統一全球動態多重資產基金,郭智偉(核心經理人) 陳煒翔(協管經理人，管理類別:1)
元大台灣高股息低波動ETF基金,邱鉦淵
群益道瓊美國地產ETF基金,李鈺涵
富達亞洲非投資等級債券基金,夏苔耘
富邦標普美國特別股ETF基金,蘇筱婷
富蘭克林華美全球醫療保健基金,游信凱
台新智慧生活基金,蘇聖峰
柏瑞多重資產特別收益基金,江仲弘
元大20年期以上BBB級美元公司債券ETF基金,周宜縉
元大美國政府1至3年期債券ETF基金,李怡婷
群益15年期以上電信業公司債ETF基金,曾盈甄
