基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
第一金電子基金,3,群益金鼎證券,1447184,9.19%,1608084535,1447184,0.09%,第一金投信,第一金電子基金
第一金電子基金,4,永豐金證券,1263170,8.02%,1403614237,1263170,0.09%,第一金投信,第一金電子基金
第一金電子基金,5,凱基證券,1180790,7.50%,1312055994,1180790,0.09%,第一金投信,第一金電子基金
第一金店頭市場基金,1,第一金證券,82268,19.41%,91431150,82268,0.09%,第一金投信,第一金店頭市場基金
第一金店頭市場基金,2,群益金鼎證券,65287,15.40%,72555450,65287,0.09%,第一金投信,第一金店頭市場基金
第一金店頭市場基金,3,永豐金證券,46124,10.88%,51263350,46124,0.09%,第一金投信,第一金店頭市場基金
第一金店頭市場基金,4,元大證券,44787,10.57%,49776050,44787,0.09%,第一金投信,第一金店頭市場基金
第一金店頭市場基金,5,凱基證券,40979,9.67%,45542350,40979,0.09%,第一金投信,第一金店頭市場基金
第一金中國世紀基金,1,第一金證券,417395,23.89%,278263544,417395,0.15%,第一金投信,第一金中國世紀基金
第一金中國世紀基金,2,QFII國泰海通證券,227221,13.01%,227212731,227221,0.10%,第一金投信,第一金中國世紀基金
第一金中國世紀基金,3,UOB Kay Hian (Hong Kong) Ltd,307611,17.61%,205072977,307611,0.15%,第一金投信,第一金中國世紀基金
第一金中國世紀基金,4,QFII申萬宏源證券,200813,11.50%,200804390,200813,0.10%,第一金投信,第一金中國世紀基金
第一金中國世紀基金,5,中信證券(香港)有限公司,128236,7.34%,85490046,128236,0.15%,第一金投信,第一金中國世紀基金
第一金亞洲新興市場基金,1,第一金證券,12237,16.56%,8157711,12237,0.15%,第一金投信,第一金亞洲新興市場基金
第一金亞洲新興市場基金,2,國泰綜合證券,8836,11.95%,6333067,8836,0.14%,第一金投信,第一金亞洲新興市場基金
第一金亞洲新興市場基金,3,富邦證券,9216,12.47%,6144664,9216,0.15%,第一金投信,第一金亞洲新興市場基金
第一金亞洲新興市場基金,4,元大證券,12064,16.32%,6095167,12064,0.20%,第一金投信,第一金亞洲新興市場基金
第一金亞洲新興市場基金,5,UOB Kay Hian (Singapore) Ltd,11569,15.65%,5784036,11569,0.20%,第一金投信,第一金亞洲新興市場基金
第一金創新趨勢基金,1,第一金證券,1827351,17.42%,2030472939,1827351,0.09%,第一金投信,第一金創新趨勢基金
第一金創新趨勢基金,2,元大證券,1415633,13.50%,1572985669,1415633,0.09%,第一金投信,第一金創新趨勢基金
第一金創新趨勢基金,3,永豐金證券,1167752,11.13%,1297567638,1167752,0.09%,第一金投信,第一金創新趨勢基金
第一金創新趨勢基金,4,群益金鼎證券,1165084,11.11%,1294595978,1165084,0.09%,第一金投信,第一金創新趨勢基金
第一金創新趨勢基金,5,凱基證券,894595,8.53%,994047896,894595,0.09%,第一金投信,第一金創新趨勢基金
第一金全球AI機器人及自動化產業基金,1,第一金證券,196278,25.63%,189170204,196278,0.10%,第一金投信,第一金全球AI機器人及自動化產業基金
第一金全球AI機器人及自動化產業基金,2,統一綜合證券,114704,14.98%,111880959,114704,0.10%,第一金投信,第一金全球AI機器人及自動化產業基金
第一金全球AI機器人及自動化產業基金,3,CLSA Limited,35034,4.57%,94508251,35034,0.04%,第一金投信,第一金全球AI機器人及自動化產業基金
