基金名稱,是複委託
富邦道瓊臺灣優質高息30ETF基金 (本基金之配息來源可能為收益平準金且基金並無保證收益及配息),FALSE
富邦臺灣中小A級動能50ETF基金,FALSE
富邦全球智能車基金,TRUE
富邦AI智能新趨勢多重資產型基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
富邦小而美基金,FALSE
富邦多元收益ⅡETF傘型基金之富邦中國中証中小500ETF基金,TRUE
富邦上選基金,FALSE
富邦高成長基金,FALSE
富邦科技基金,FALSE
富邦台灣高股息基金 (本基金並無保證收益及配息),FALSE
富邦富時越南ETF基金,TRUE
富邦台灣永續成長股息基金,FALSE
富邦台灣核心半導體ETF基金,FALSE
富邦未來車ETF基金,TRUE
富邦基因免疫生技ETF基金,TRUE
富邦越南機會基金,TRUE
富邦特選台灣高股息30ETF基金 (本基金之配息來源可能為收益平準金且基金並無保證收益及配息),FALSE
富邦元宇宙ETF基金,TRUE
富邦全球入息不動產與基礎建設ETF基金,TRUE
富邦台美雙星多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
富邦全球ESG綠色電力ETF基金,TRUE
富邦精準基金,FALSE
富邦長紅基金,FALSE
富邦全球關鍵半導體基金,TRUE
富邦新台商基金,FALSE
摩根大美國領先收成多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),TRUE
摩根大美國領先科技主動式ETF基金 (本基金之配息來源可能為收益平準金),TRUE
摩根台灣鑫收益主動式ETF基金 (本基金之配息來源可能為收益平準金),FALSE
摩根台灣增長基金,FALSE
摩根東方內需機會基金,TRUE
摩根金龍收成基金,TRUE
摩根平衡基金,FALSE
摩根東方科技基金,TRUE
摩根亞太高息平衡基金 (本基金之配息來源可能為本金且並無保證收益及配息),TRUE
摩根中國亮點基金,TRUE
摩根台灣金磚基金,FALSE
摩根新金磚五國基金,TRUE
摩根全球創新成長基金,TRUE
摩根中國A股基金,TRUE
摩根泛亞太股票入息基金 (本基金之配息來源可能為本金且並無保證收益及配息),TRUE
摩根新興雙利平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
摩根中國雙息平衡基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金且並無保證收益及配息),TRUE
摩根環球股票收益基金 (本基金之配息來源可能為本金),TRUE
摩根絕對日本基金,TRUE
摩根新興35基金,TRUE
摩根新絲路基金,TRUE
摩根大歐洲基金,TRUE
摩根中小基金,FALSE
摩根新興日本基金,TRUE
摩根新興科技基金,FALSE
摩根亞洲基金,TRUE
摩根龍揚基金,TRUE
摩根全球平衡基金,TRUE
華南永昌全球科技多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金),TRUE
華南永昌台灣優選50ETF基金 (本基金之配息來源可能為收益平準金),FALSE
華南永昌NASDAQ 100科技ETF基金,TRUE
華南永昌全球未來金融優選30 ETF基金,TRUE
華南永昌永昌基金,FALSE
華南永昌中國A股基金,TRUE
華南永昌多重資產入息平衡基金 (本基金之配息來源可能為本金),TRUE
華南永昌全球物聯網精選基金,TRUE
華南永昌全球精品基金,TRUE
華南永昌低波動多重資產基金,TRUE
華南永昌台灣環境永續高股息指數基金,FALSE
華南永昌未來科技基金,FALSE
群益優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益印美戰略多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
群益台灣精選強棒主動式ETF基金 (本基金之配息來源可能為收益平準金),FALSE
群益0-5年期ESG投資等級公司債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益標普500ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益台灣科技創新主動式ETF基金 (本基金之配息來源可能為收益平準金),FALSE
群益美國增長主動式ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益美國科技巨頭ETF基金,TRUE
群益真善美基金,FALSE
群益平衡王基金,FALSE
群益創新科技基金,FALSE
群益店頭市場基金,FALSE
群益東方盛世基金,TRUE
群益華夏盛世基金,TRUE
群益印巴雙星基金,TRUE
群益東協成長基金,TRUE
群益印度中小基金,TRUE
群益大中華雙力優勢基金,TRUE
群益安家基金,FALSE
群益美國新創亮點基金,TRUE
群益全球關鍵生技基金,TRUE
群益中國新機會基金,TRUE
群益工業國入息基金 (本基金之配息來源可能為本金),TRUE
群益中國金采平衡基金 (本基金有相當比例投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
群益深証中小100基金,TRUE
群益大印度基金,TRUE
群益金選報酬平衡基金 (本基金有相當比例投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
群益那斯達克生技基金,TRUE
群益全球特別股收益基金 (本基金之配息來源可能為本金),TRUE
群益道瓊美國地產ETF基金,TRUE
群益15年期以上電信業公司債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益15年期以上科技業公司債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益10年期以上金融債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益奧斯卡基金,FALSE
群益葛萊美基金,FALSE
群益亞太新趨勢平衡基金,TRUE
群益新興金鑽基金,TRUE
群益2028 REVERSO美元保本基金 (保護型保本基金；保本比率為本金之115%，但投資人於基金到期日前提出買回申請，到期前之買回淨值不保證會高於基金保本率或發行價格),TRUE
群益15年期以上公用事業公司債ETF 基金,TRUE
群益15年期以上高評等公司債ETF 基金,TRUE
群益15年期以上新興市場主權債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益潛力收益多重資產基金 (本子基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
群益25年期以上美國政府債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益15年期以上A級美元公司債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益15年期以上AAA-A醫療保健業美元公司債ETF基金,TRUE
群益1-5年期投資等級公司債ETF基金,TRUE
群益0-1年期美國政府債券ETF基金,TRUE
群益長安基金,FALSE
群益台灣精選高息ETF基金 (本基金之配息來源可能為收益平準金且基金並無保證收益及配息),FALSE
群益智慧聯網電動車基金,TRUE
群益台灣ESG低碳50ETF基金 (本基金之配息來源可能為收益平準金),FALSE
群益台灣半導體收益ETF基金 (本基金之配息來源可能為收益平準金),FALSE
群益中小型股基金,FALSE
群益優化收益成長多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),TRUE
群益ESG 20年期以上BBB投資等級公司債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
群益台灣科技高息成長ETF基金 (本基金之配息來源可能為收益平準金且基金並無保證收益及配息),FALSE
群益馬拉松基金,FALSE
台中銀數位時代基金 (本基金配息來源可能為本金),FALSE
台中銀中國精選成長基金,TRUE
台中銀台灣優息基金,FALSE
台中銀大發基金 (本基金配息來源可能為本金),FALSE
聯博投資等級債入息主動式ETF基金 (本基金有一定比重得投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),TRUE
聯博優選全球非投資等級債券主動式ETF基金 (本基金主要投資於非投資等級之高風險債券，配息來源可能為收益平準金且並無保證收益及配息),TRUE
聯博台灣動能收益50 主動式ETF基金 (本基金配息來源可能為收益平準金),FALSE
聯博多重資產傘型基金之聯博歐洲多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),TRUE
聯博多重資產傘型基金之聯博亞太多重資產基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金及收益平準金),TRUE
聯博中國A股基金,TRUE
聯博美國傘型基金之聯博美國多重資產收益基金 (本基金得投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
